                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3564,                0.65922,                 1.0597,                0.96005,                0.82996,                0.87828,                0.54952,                 1.4401,                 0.8082,                0.95349,               0.007822,               0.007822,               0.007822
                     68,                 1.3541,                0.65783,                 1.0566,                0.95973,                0.83041,                0.87826,                0.55031,                 1.4385,                0.80758,                0.95302,               0.007789,               0.007789,               0.007789
                     69,                 1.3543,                0.65584,                 1.0589,                0.96586,                0.82483,                0.87812,                0.55011,                 1.4383,                0.80836,                0.95269,               0.007756,               0.007756,               0.007756
                     70,                 1.3536,                0.65517,                 1.0583,                0.96201,                0.82865,                 0.8785,                0.55045,                 1.4384,                0.80575,                0.95237,               0.007723,               0.007723,               0.007723
                     71,                 1.3525,                 0.6541,                 1.0572,                0.96055,                 0.8307,                0.87865,                0.55081,                 1.4364,                0.80455,                 0.9517,                0.00769,                0.00769,                0.00769
                     72,                 1.3516,                0.65363,                 1.0574,                0.96018,                0.83141,                0.87866,                 0.5514,                 1.4348,                0.80254,                0.95137,               0.007657,               0.007657,               0.007657
                     73,                 1.3524,                0.65591,                 1.0577,                0.96128,                0.83063,                0.87866,                0.55108,                  1.436,                0.80062,                0.95125,               0.007624,               0.007624,               0.007624
                     74,                 1.3463,                0.65262,                 1.0548,                0.96362,                 0.8296,                 0.8792,                0.55085,                 1.4353,                0.80028,                0.95127,               0.007591,               0.007591,               0.007591
                     75,                 1.3465,                0.65064,                  1.056,                0.96185,                0.83074,                0.87921,                  0.552,                 1.4351,                0.80021,                0.95093,               0.007558,               0.007558,               0.007558
                     76,                 1.3459,                0.65056,                 1.0553,                0.96271,                0.82992,                0.87941,                0.55156,                  1.434,                0.79901,                0.95057,               0.007525,               0.007525,               0.007525
                     77,                 1.3429,                0.65018,                 1.0529,                 0.9614,                0.82929,                0.87955,                0.55155,                 1.4335,                0.79753,                0.95025,               0.007492,               0.007492,               0.007492
                     78,                  1.344,                0.64938,                 1.0558,                0.96285,                0.82911,                0.87967,                0.55254,                 1.4334,                0.79611,                   0.95,               0.007459,               0.007459,               0.007459
                     79,                 1.3453,                0.64828,                 1.0572,                0.96183,                0.82976,                0.88007,                0.55329,                 1.4326,                0.79543,                0.95004,               0.007426,               0.007426,               0.007426
                     80,                  1.345,                0.64896,                 1.0547,                0.96111,                  0.831,                0.88033,                0.55294,                 1.4313,                0.79582,                0.94965,               0.007393,               0.007393,               0.007393
                     81,                 1.3425,                 0.6484,                 1.0524,                0.96234,                   0.83,                0.88002,                0.55362,                 1.4305,                 0.7944,                0.94934,                0.00736,                0.00736,                0.00736
                     82,                 1.3427,                0.64773,                  1.054,                0.96195,                0.83043,                0.88073,                0.55483,                 1.4279,                0.79153,                0.94885,               0.007327,               0.007327,               0.007327
